Series_1_3
Sweep #, Voltage2[V], Ipp_bas[A], Ipp_beg[A], Ipp_end[A],   Ipeak[A],    Isus[A],    Imax[A], Max_end[A],  t_peak[s],   Cslow[F], Rseries[Ohm]
      1,  -6.00E-02,   3.42E-13,  -3.00E-12,   8.02E-13,  -4.65E-12,   1.33E-12,   5.47E-11,   5.47E-11,   1.75E-02,   4.20E-11,   7.02E+06
      2,  -5.50E-02,   1.67E-13,  -4.03E-13,  -3.19E-13,  -1.29E-11,  -1.60E-12,   6.44E-11,   5.04E-11,   9.90E-03,   4.20E-11,   7.02E+06
      3,  -5.00E-02,  -1.87E-12,   4.84E-12,  -1.80E-12,  -2.62E-11,   2.68E-12,   6.35E-11,   6.35E-11,   8.40E-03,   4.20E-11,   7.02E+06
      4,  -4.50E-02,   1.11E-12,   1.34E-12,   1.05E-12,  -4.75E-11,   1.48E-11,   7.30E-11,   6.22E-11,   4.30E-03,   4.20E-11,   7.02E+06
      5,  -4.00E-02,  -1.70E-12,   1.29E-12,  -1.64E-12,  -3.01E-10,   2.55E-11,   9.49E-11,   9.80E-11,   5.45E-03,   4.20E-11,   7.02E+06
      6,  -3.50E-02,  -1.59E-12,   1.58E-14,  -1.91E-12,  -1.80E-08,   1.96E-10,   3.36E-10,   1.34E-10,   2.05E-03,   4.20E-11,   7.02E+06
      7,  -3.00E-02,  -2.51E-13,   9.63E-12,  -1.66E-12,  -1.79E-08,   3.07E-10,   3.92E-10,   2.18E-10,   1.30E-03,   4.20E-11,   7.02E+06
      8,  -2.50E-02,  -1.59E-12,   6.26E-12,  -1.75E-12,  -1.89E-08,   3.86E-10,   4.57E-10,   2.28E-10,   1.00E-03,   4.20E-11,   7.02E+06
      9,  -2.00E-02,   6.25E-12,   5.44E-12,   7.66E-12,  -1.89E-08,   5.31E-10,   6.41E-10,   2.68E-10,   8.50E-04,   4.20E-11,   7.02E+06
     10,  -1.50E-02,  -3.24E-12,   7.07E-12,  -1.52E-12,  -1.84E-08,   8.13E-10,   9.00E-10,   3.35E-10,   7.50E-04,   4.20E-11,   7.02E+06
     11,  -1.00E-02,   3.25E-13,  -2.74E-12,  -2.04E-12,  -1.76E-08,   1.26E-09,   1.32E-09,   3.73E-10,   7.00E-04,   4.20E-11,   7.02E+06
     12,  -5.00E-03,  -1.19E-12,   3.79E-12,  -1.58E-12,  -1.65E-08,   1.91E-09,   1.97E-09,   4.12E-10,   6.50E-04,   4.20E-11,   7.02E+06
     13,   0.00E+00,   3.55E-12,   9.14E-12,   3.23E-12,  -1.55E-08,   2.79E-09,   2.89E-09,   4.24E-10,   6.00E-04,   4.20E-11,   7.02E+06
     14,   5.00E-03,  -9.00E-13,   6.11E-12,  -8.45E-13,  -1.42E-08,   3.88E-09,   3.94E-09,   4.64E-10,   6.00E-04,   4.20E-11,   7.02E+06
     15,   1.00E-02,   3.08E-12,   1.27E-11,   4.62E-12,  -1.31E-08,   5.00E-09,   5.08E-09,   5.21E-10,   5.50E-04,   4.20E-11,   7.02E+06
     16,   1.50E-02,  -1.19E-12,   1.52E-11,  -6.72E-13,  -1.20E-08,   6.33E-09,   6.40E-09,   5.74E-10,   5.50E-04,   4.20E-11,   7.02E+06
     17,   2.00E-02,   3.68E-12,   4.80E-12,   4.07E-12,  -1.08E-08,   7.46E-09,   7.54E-09,   5.92E-10,   5.50E-04,   4.20E-11,   7.02E+06
     18,   2.50E-02,   1.99E-12,   1.12E-11,   1.44E-12,  -9.82E-09,   8.73E-09,   8.80E-09,   5.95E-10,   5.00E-04,   4.20E-11,   7.02E+06
     19,   3.00E-02,  -4.54E-12,   8.67E-12,  -5.84E-12,  -8.72E-09,   9.94E-09,   1.00E-08,   6.52E-10,   5.00E-04,   4.20E-11,   7.02E+06
     20,   3.50E-02,   8.24E-13,   1.28E-11,  -1.09E-12,  -7.69E-09,   1.10E-08,   1.11E-08,   6.63E-10,   5.00E-04,   4.20E-11,   7.02E+06
     21,   4.00E-02,  -4.01E-12,   8.11E-12,  -3.92E-12,  -6.75E-09,   1.22E-08,   1.23E-08,   6.92E-10,   5.00E-04,   4.20E-11,   7.02E+06

