,Sweep #,Voltage2[V],Ipp_bas[A],Ipp_beg[A],Ipp_end[A],Ipeak[A],Isus[A],Imax[A],Max_end[A],t_peak[s],Cslow[F],Rseries[Ohm],condition
0,1,-0.06,2.56e-13,8.31e-13,1.1e-13,-7.5e-13,2.62e-12,3.2e-11,4.14e-11,0.0199,3.36e-11,7930000.0,wt
1,2,-0.055,1.72e-12,1.02e-12,5.58e-13,-1.16e-12,3.69e-12,2.85e-11,2.79e-11,0.00165,3.36e-11,7930000.0,wt
2,3,-0.05,7.17e-14,-8.86e-13,6.5e-13,-5.92e-12,1.41e-11,4.5e-11,4.31e-11,0.00765,3.36e-11,7930000.0,wt
3,4,-0.045,-7.22e-13,2.27e-12,-5.69e-13,-2.62e-11,3.29e-11,7.02e-11,3.77e-11,0.00235,3.36e-11,7930000.0,wt
4,5,-0.04,-1.83e-12,-1.41e-12,-1.88e-12,-1.04e-10,5.77e-11,1.06e-10,5.85e-11,0.00235,3.36e-11,7930000.0,wt
5,6,-0.035,7.79e-14,-1.01e-12,1.41e-13,-1.25e-08,1.79e-10,2.23e-10,7.86e-11,0.00515,3.36e-11,7930000.0,wt
6,7,-0.03,9.84e-13,-9.69e-13,5.13e-13,-1.23e-08,2.76e-10,3.21e-10,1.11e-10,0.0016,3.36e-11,7930000.0,wt
7,8,-0.025,6.89e-13,3.68e-13,3.05e-13,-1.39e-08,3.6e-10,3.99e-10,1.7e-10,0.00105,3.36e-11,7930000.0,wt
8,9,-0.02,2.55e-12,-2.39e-12,3.06e-12,-1.45e-08,4.57e-10,5.02e-10,1.76e-10,0.00085,3.36e-11,7930000.0,wt
9,10,-0.015,1.06e-12,-3.62e-12,7.86e-13,-1.44e-08,5.84e-10,6.33e-10,1.84e-10,0.00075,3.36e-11,7930000.0,wt
10,11,-0.01,-1.7e-12,1.45e-13,-1.12e-12,-1.4e-08,8.49e-10,9.04e-10,1.93e-10,0.00065,3.36e-11,7930000.0,wt
