,sweep_1,sweep_2,sweep_3,sweep_4,sweep_5
0,-7.0875e-05,0.0001875625,0.0007034375,-0.0001079375,0.0001040625
1,-0.000102125,0.0001250625,0.0005784375,-7.66875e-05,7.28125e-05
2,-0.000133375,0.0001250625,0.0002971875,7.95625e-05,1.03125e-05
3,-0.000227125,0.0001563125,0.0001721875,4.83125e-05,4.15625e-05
4,-0.000133375,0.0002500625,0.0002659375,-7.66875e-05,4.15625e-05
5,5.4125e-05,0.0003125625,0.0003909375,-0.0001391875,0.0001040625
6,-8.375e-06,0.0002500625,0.0003909375,-0.0002329375,-5.21875e-05
7,-0.000133375,0.0001250625,0.0004846875,-0.0001704375,-8.34375e-05
8,-0.000289625,3.13125e-05,0.0004221875,-7.66875e-05,7.28125e-05
9,-0.000258375,0.0001250625,0.0003909375,-1.41875e-05,7.28125e-05
10,2.2875e-05,0.0003125625,0.0002971875,-0.0001391875,4.15625e-05
11,0.000147875,0.0003750625,0.0003284375,-0.0002641875,4.15625e-05
12,0.000116625,9.38125e-05,0.0001721875,-0.0002954375,0.0001040625
13,-7.0875e-05,-0.0001249375,0.0003909375,-0.0002016875,0.0002290625
14,-0.000227125,-3.11875e-05,0.0004221875,-4.54375e-05,0.0001978125
15,-0.000102125,0.0001250625,0.0003909375,4.83125e-05,4.15625e-05
16,2.2875e-05,0.0002188125,0.0002971875,-4.54375e-05,-0.0001459375
17,-7.0875e-05,0.0002813125,0.0002659375,-4.54375e-05,-0.0001146875
18,-7.0875e-05,0.0002500625,0.0003284375,-0.0001391875,0.0001040625
19,-0.000133375,0.0001875625,0.0003596875,-0.0001704375,0.0002915625
20,-0.000195875,6.25625e-05,0.0005159375,-0.0001391875,0.0002603125
21,-0.000164625,3.13125e-05,0.0004846875,-1.41875e-05,4.15625e-05
22,-0.000102125,0.0001250625,0.0003909375,-1.41875e-05,-0.0001146875
23,-0.000102125,0.0002813125,0.0002659375,-7.66875e-05,4.15625e-05
24,-7.0875e-05,0.0002813125,0.0002346875,-0.0001391875,0.0001978125
25,-0.000133375,0.0001250625,0.0003284375,-0.0002016875,0.0001978125
26,-3.9625e-05,3.13125e-05,0.0004846875,-0.0001079375,0.0001353125
27,8.5375e-05,-3.11875e-05,0.0004534375,-7.66875e-05,4.15625e-05
28,2.2875e-05,0.0001250625,0.0003284375,-0.0001079375,4.15625e-05
29,-0.000133375,0.0002813125,0.0002971875,-0.0001391875,0.0001353125
30,-0.000258375,0.0002500625,0.0002346875,-0.0001704375,0.0001978125
31,-0.000102125,0.0002188125,0.0003596875,-7.66875e-05,0.0001040625
32,2.2875e-05,0.0001250625,0.0005471875,1.70625e-05,7.28125e-05
33,2.2875e-05,0.0001250625,0.0005471875,4.83125e-05,0.0001353125
34,-7.0875e-05,0.0001563125,0.0003909375,-1.41875e-05,0.0001665625
35,-0.000133375,0.0001875625,0.0002659375,-0.0002016875,0.0001665625
36,-0.000195875,0.0003438125,0.0002659375,-0.0002329375,4.15625e-05
37,-7.0875e-05,0.0001875625,0.0003284375,-0.0001079375,-8.34375e-05
38,-8.375e-06,3.13125e-05,0.0004534375,-0.0001391875,7.28125e-05
39,-7.0875e-05,0.0001250625,0.0006409375,-0.0002016875,0.0001353125
40,-7.0875e-05,9.38125e-05,0.0004534375,-0.0002954375,0.0002603125
41,-0.000164625,0.0001875625,0.0002659375,-0.0002329375,0.0001665625
42,-0.000102125,0.0002188125,0.0001721875,-0.0001704375,1.03125e-05
43,-0.000133375,0.0002813125,0.0003284375,-0.0001079375,-8.34375e-05
44,-3.9625e-05,0.0001875625,0.0004846875,-7.66875e-05,7.28125e-05
45,-7.0875e-05,0.0001250625,0.0005159375,-0.0001079375,0.0001978125
46,-8.375e-06,0.0001563125,0.0005159375,-0.0003266875,0.0002915625
47,-8.375e-06,0.0001875625,0.0002659375,-0.0002329375,0.0002290625
48,5.4125e-05,0.0002188125,0.0001721875,-7.66875e-05,0.0001665625
49,-7.0875e-05,0.0002188125,0.0001721875,1.70625e-05,4.15625e-05
50,-3.9625e-05,0.0001875625,0.0003596875,1.70625e-05,0.0001353125
51,2.2875e-05,0.0002188125,0.0003909375,-0.0002329375,0.0001353125
52,5.4125e-05,0.0001250625,0.0002659375,-0.0002954375,1.03125e-05
53,8.5375e-05,0.0001250625,0.0002659375,-0.0001079375,0.0001353125
54,-3.9625e-05,0.0001875625,0.0002971875,-7.66875e-05,0.0001665625
55,-7.0875e-05,0.0002813125,0.0003596875,-7.66875e-05,0.0002290625
56,-3.9625e-05,0.0001250625,0.0004534375,-4.54375e-05,0.0001978125
57,-0.000164625,0.0001250625,0.0003909375,-0.0001391875,0.0001353125
58,-0.000164625,0.0001250625,0.0002971875,-0.0002954375,0.0001040625
59,-0.000102125,0.0001250625,0.0002346875,-0.0002641875,4.15625e-05
60,2.2875e-05,0.0002188125,0.0002971875,-0.0002329375,0.0001665625
61,-8.375e-06,0.0002813125,0.0003596875,-7.66875e-05,0.0001978125
62,-3.9625e-05,0.0001875625,0.0002659375,-7.66875e-05,0.0001353125
63,-0.000102125,9.38125e-05,0.0003596875,-0.0001704375,-5.21875e-05
64,-0.000102125,0.0001563125,0.0003909375,-0.0002016875,-8.34375e-05
