,sweep_1,sweep_2,sweep_3,sweep_4,sweep_5,sweep_6,sweep_7,sweep_8,sweep_9,sweep_10,sweep_11,sweep_12,sweep_13,sweep_14,sweep_15,sweep_16,sweep_17,sweep_18,sweep_19,sweep_20,sweep_21
0,1.211e-11,1.65125e-11,-1.24275e-11,-3.729e-11,4.16e-12,4.28e-12,-1.3355e-11,1.966e-11,9.4075e-12,1.76675e-11,1.9675e-11,5.555e-12,-1.67125e-11,1.65925e-11,5.08e-12,1.975e-12,-1.32175e-11,1.38225e-11,1.29325e-11,-8.65e-13,-8.725e-13
1,3.985e-12,2.02625e-11,-7.4275e-12,-2.729e-11,1.66e-12,2.405e-12,-1.3355e-11,1.535e-12,8.7825e-12,5.1675e-12,9.675e-12,1.18e-12,-1.42125e-11,1.97175e-11,5.705e-12,-9.275e-12,6.7825e-12,9.4475e-12,2.04325e-11,-4.615e-12,-1.4975e-12
2,-1.015e-12,1.46375e-11,3.8225e-12,-1.4165e-11,-3.34e-12,-1.2595e-11,-1.3355e-11,-1.034e-11,9.4075e-12,-2.3325e-12,9.675e-12,-2.57e-12,1.4125e-12,1.28425e-11,1.1955e-11,-2.1775e-11,1.30325e-11,7.25e-14,1.29325e-11,-2.115e-12,4.1275e-12
3,6.485e-12,-2.8625e-12,2.00725e-11,2.085e-12,-1.084e-11,-2.7595e-11,-1.0855e-11,-1.659e-11,5.0325e-12,-5.4575e-12,4.675e-12,-7.57e-12,3.2875e-12,-3.4075e-12,1.508e-11,-2.24e-11,4.9075e-12,-8.6775e-12,3.5575e-12,-5.865e-12,1.03775e-11
4,-1.64e-12,-1.16125e-11,3.25725e-11,1.271e-11,-6.465e-12,-2.197e-11,-2.73e-12,-1.8465e-11,3.1575e-12,-2.3325e-12,-1.575e-12,-6.32e-12,2.0375e-12,-1.27825e-11,1.133e-11,-1.4275e-11,3.6575e-12,-1.30525e-11,1.0575e-12,-7.115e-12,1.35025e-11
5,-2.89e-12,-5.9875e-12,2.56975e-11,1.521e-11,-2.715e-12,-9.47e-12,1.645e-12,-1.3465e-11,3.25e-14,7.925e-13,2.175e-12,1.18e-12,1.625e-13,-1.34075e-11,1.955e-12,-8.65e-12,6.1575e-12,-8.6775e-12,9.8075e-12,-6.49e-12,1.85025e-11
6,8.6e-13,-3.4875e-12,-5.5525e-12,8.335e-12,-2.15e-13,1.155e-12,6.645e-12,1.216e-11,6.575e-13,1.4175e-12,1.03e-11,1.805e-12,5.7875e-12,-4.0325e-12,-2.42e-12,1.1975e-11,1.67825e-11,1.9475e-12,1.48075e-11,4.135e-12,7.8775e-12
7,3.36e-12,-5.3625e-12,-1.49275e-11,-1.04e-12,-1.834e-11,7.405e-12,1.1645e-11,2.7785e-11,1.62825e-11,-7.3325e-12,7.8e-12,-3.82e-12,2.6625e-12,2.2175e-12,1.33e-12,3.135e-11,2.11575e-11,1.3225e-12,5.4325e-12,4.76e-12,-1.08725e-11
8,-3.9e-13,-4.1125e-12,-1.36775e-11,-1.354e-11,-2.084e-11,4.28e-12,1.4145e-11,1.9035e-11,2.00325e-11,-1.17075e-11,5.925e-12,-1.132e-11,1.625e-13,-5.2825e-12,8e-14,2.6975e-11,1.80325e-11,-6.1775e-12,-5.1925e-12,-8.65e-13,-2.39975e-11
9,-2.89e-12,-3.4875e-12,-1.61775e-11,-2.354e-11,-1.1465e-11,-9.5e-14,9.77e-12,1.5285e-11,1.25325e-11,-5.4575e-12,1.3425e-11,-1.5695e-11,-1.35875e-11,-9.0325e-12,-4.295e-12,1.51e-11,1.49075e-11,-7.4275e-12,-2.0675e-12,-2.115e-12,-1.58725e-11
