T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];A4-Rate[Hz];B4-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];A5-Rate[Hz];B5-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];A6-Rate[Hz];B6-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];A7-Rate[Hz];B7-Rate[Hz];D7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];A8-Rate[Hz];B8-Rate[Hz];C8-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];G8-Rate[Hz];A9-Rate[Hz];B9-Rate[Hz];C9-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz]
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
60;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
