T[s];D1-Rate[Hz];E1-Rate[Hz];F1-Rate[Hz];G1-Rate[Hz];H1-Rate[Hz];J1-Rate[Hz];C2-Rate[Hz];D2-Rate[Hz];E2-Rate[Hz];F2-Rate[Hz];G2-Rate[Hz];H2-Rate[Hz];J2-Rate[Hz];K2-Rate[Hz];B3-Rate[Hz];C3-Rate[Hz];D3-Rate[Hz];E3-Rate[Hz];F3-Rate[Hz];G3-Rate[Hz];H3-Rate[Hz];J3-Rate[Hz];K3-Rate[Hz];L3-Rate[Hz];C4-Rate[Hz];D4-Rate[Hz];E4-Rate[Hz];F4-Rate[Hz];G4-Rate[Hz];H4-Rate[Hz];J4-Rate[Hz];K4-Rate[Hz];L4-Rate[Hz];M4-Rate[Hz];C5-Rate[Hz];D5-Rate[Hz];E5-Rate[Hz];F5-Rate[Hz];G5-Rate[Hz];H5-Rate[Hz];J5-Rate[Hz];K5-Rate[Hz];L5-Rate[Hz];M5-Rate[Hz];C6-Rate[Hz];D6-Rate[Hz];E6-Rate[Hz];F6-Rate[Hz];G6-Rate[Hz];H6-Rate[Hz];J6-Rate[Hz];K6-Rate[Hz];L6-Rate[Hz];M6-Rate[Hz];C7-Rate[Hz];D7-Rate[Hz];E7-Rate[Hz];F7-Rate[Hz];G7-Rate[Hz];H7-Rate[Hz];J7-Rate[Hz];K7-Rate[Hz];L7-Rate[Hz];M7-Rate[Hz];D8-Rate[Hz];E8-Rate[Hz];F8-Rate[Hz];G8-Rate[Hz];H8-Rate[Hz];J8-Rate[Hz];K8-Rate[Hz];L8-Rate[Hz];M8-Rate[Hz];D9-Rate[Hz];E9-Rate[Hz];F9-Rate[Hz];G9-Rate[Hz];H9-Rate[Hz];J9-Rate[Hz];K9-Rate[Hz];L9-Rate[Hz];M9-Rate[Hz];B10-Rate[Hz];C10-Rate[Hz];D10-Rate[Hz];E10-Rate[Hz];F10-Rate[Hz];G10-Rate[Hz];H10-Rate[Hz];J10-Rate[Hz];K10-Rate[Hz];L10-Rate[Hz];C11-Rate[Hz];D11-Rate[Hz];E11-Rate[Hz];F11-Rate[Hz];G11-Rate[Hz];H11-Rate[Hz];J11-Rate[Hz];K11-Rate[Hz];D12-Rate[Hz];E12-Rate[Hz];F12-Rate[Hz];G12-Rate[Hz];H12-Rate[Hz];J12-Rate[Hz]
10;0,3;0;0;0;0;0;0,8;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0,5;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0,6;0;0;0;0;0,1;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0
60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
70;5,3;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0
80;5,6;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,1;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0
90;2,4;0,5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0,1;0;0;0
100;0,8;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
