,ID,abstract,Title,Journal,Publication_date,first,last
0,36260661,"Dopamine signaling from the ventral tegmental area (VTA) plays critical roles in reward-related behaviors, but less is known about the functions of neighboring VTA GABAergic neurons. We show here that a primary target of VTA GABA projection neurons is the ventral pallidum (VP). Activity of VTA-to-VP-projecting GABA neurons correlates consistently with size and palatability of the reward and does not change following cue learning, providing a direct measure of reward value. Chemogenetic stimulation of this GABA projection increased activity of a subset of VP neurons that were active while mice were seeking reward. Optogenetic stimulation of this pathway improved performance in a cue-reward task and maintained motivation to work for reward over days. This VTA GABA projection provides information about reward value directly to the VP, likely distinct from the prediction error signal carried by VTA dopamine neurons.",Activity of a direct VTA to ventral pallidum GABA pathway encodes unconditioned reward value and sustains motivation for reward.,Science advances,2022 Oct 21,"Zhou, Wen-Liang","Picciotto, Marina R"
1,36224417,"Self-organizing neural organoids represent a promising in vitro platform with which to model human development and disease(1-5). However, organoids lack the connectivity that exists in vivo, which limits maturation and makes integration with other circuits that control behaviour impossible. Here we show that human stem cell-derived cortical organoids transplanted into the somatosensory cortex of newborn athymic rats develop mature cell types that integrate into sensory and motivation-related circuits. MRI reveals post-transplantation organoid growth across multiple stem cell lines and animals, whereas single-nucleus profiling shows progression of corticogenesis and the emergence of activity-dependent transcriptional programs. Indeed, transplanted cortical neurons display more complex morphological, synaptic and intrinsic membrane properties than their in vitro counterparts, which enables the discovery of defects in neurons derived from individuals with Timothy syndrome. Anatomical and functional tracings show that transplanted organoids receive thalamocortical and corticocortical inputs, and in vivo recordings of neural activity demonstrate that these inputs can produce sensory responses in human cells. Finally, cortical organoids extend axons throughout the rat brain and their optogenetic activation can drive reward-seeking behaviour. Thus, transplanted human cortical neurons mature and engage host circuits that control behaviour. We anticipate that this approach will be useful for detecting circuit-level phenotypes in patient-derived cells that cannot otherwise be uncovered.",Maturation and circuit integration of transplanted human cortical organoids.,Nature,2022 Oct,"Revah, Omer","Pasca, Sergiu P"
2,36192596,"The past decade has witnessed remarkable advances in the simultaneous measurement of neuronal activity across many brain regions, enabling fundamentally new explorations of the brain-spanning cellular dynamics that underlie sensation, cognition and action. These recently developed multiregion recording techniques have provided many experimental opportunities, but thoughtful consideration of methodological trade-offs is necessary, especially regarding field of view, temporal acquisition rate and ability to guarantee cellular resolution. When applied in concert with modern optogenetic and computational tools, multiregion recording has already made possible fundamental biological discoveries - in part via the unprecedented ability to perform unbiased neural activity screens for principles of brain function, spanning dozens of brain areas and from local to global scales.",Multiregion neuronal activity: the forest and the trees.,Nature reviews. Neuroscience,2022 Nov,"Machado, Timothy A","Deisseroth, Karl"
3,36113428,"Computational analysis of cellular activity has developed largely independently of modern transcriptomic cell typology, but integrating these approaches may be essential for full insight into cellular-level mechanisms underlying brain function and dysfunction. Applying this approach to the habenula (a structure with diverse, intermingled molecular, anatomical, and computational features), we identified encoding of reward-predictive cues and reward outcomes in distinct genetically defined neural populations, including TH(+) cells and Tac1(+) cells. Data from genetically targeted recordings were used to train an optimized nonlinear dynamical systems model and revealed activity dynamics consistent with a line attractor. High-density, cell-type-specific electrophysiological recordings and optogenetic perturbation provided supporting evidence for this model. Reverse-engineering predicted how Tac1(+) cells might integrate reward history, which was complemented by in vivo experimentation. This integrated approach describes a process by which data-driven computational models of population activity can generate and frame actionable hypotheses for cell-type-specific investigation in biological systems.",Cell-type-specific population dynamics of diverse reward computations.,Cell,2022 Sep 15,"Sylwestrak, Emily L","Deisseroth, Karl"
4,35846353,"Red fluorescent proteins are useful as morphological markers in neurons, often complementing green fluorescent protein-based probes of neuronal activity. However, commonly used red fluorescent proteins show aggregation and toxicity in neurons or are dim. We report the engineering of a bright red fluorescent protein, Crimson, that enables long-term morphological labeling of neurons without aggregation or toxicity. Crimson is similar to mCherry and mKate2 in fluorescence spectra but is 100 and 28% greater in molecular brightness, respectively. We used a membrane-localized Crimson-CAAX to label thin neurites, dendritic spines and filopodia, enhancing detection of these small structures compared to cytosolic markers.","A Bright, Nontoxic, and Non-aggregating red Fluorescent Protein for Long-Term Labeling of Fine Structures in Neurons.",Frontiers in cell and developmental biology,2022,"Ning, Lin","Chu, Jun"
5,35484242,"Salient sensory stimuli are perceived by the brain, which guides both the timing and outcome of behaviors in a context-dependent manner. Light is such a stimulus, which is used in treating mood disorders often associated with a dysregulated hypothalamic-pituitary-adrenal stress axis. Relationships between the emotional valence of light and the hypothalamus, and how they interact to exert brain-wide impacts remain unclear. Employing larval zebrafish with analogous hypothalamic systems to mammals, we show in free-swimming animals that hypothalamic corticotropin releasing factor (CRF(Hy)) neurons promote dark avoidance, and such role is not shared by other hypothalamic peptidergic neurons. Single-neuron projection analyses uncover processes extended by individual CRF(Hy) neurons to multiple targets including sensorimotor and decision-making areas. In vivo calcium imaging uncovers a complex and heterogeneous response of individual CRF(Hy) neurons to the light or dark stimulus, with a reduced overall sum of CRF neuronal activity in the presence of light. Brain-wide calcium imaging under alternating light/dark stimuli further identifies distinct and distributed photic response neuronal types. CRF(Hy) neuronal ablation increases an overall representation of light in the brain and broadly enhances the functional connectivity associated with an exploratory brain state. These findings delineate brain-wide photic perception, uncover a previously unknown role of CRF(Hy) neurons in regulating the perception and emotional valence of light, and suggest that light therapy may alleviate mood disorders through reducing an overall sum of CRF neuronal activity.",Brain-wide perception of the emotional valence of light is regulated by distinct hypothalamic neurons.,Molecular psychiatry,2022 Sep,"Wagle, Mahendra","Guo, Su"
6,35324282,"Intrinsically stretchable bioelectronic devices based on soft and conducting organic materials have been regarded as the ideal interface for seamless and biocompatible integration with the human body. A remaining challenge is to combine high mechanical robustness with good electrical conduction, especially when patterned at small feature sizes. We develop a molecular engineering strategy based on a topological supramolecular network, which allows for the decoupling of competing effects from multiple molecular building blocks to meet complex requirements. We obtained simultaneously high conductivity and crack-onset strain in a physiological environment, with direct photopatternability down to the cellular scale. We further collected stable electromyography signals on soft and malleable octopus and performed localized neuromodulation down to single-nucleus precision for controlling organ-specific activities through the delicate brainstem.","Topological supramolecular network enabled high-conductivity, stretchable organic bioelectronics.","Science (New York, N.Y.)",2022 Mar 25,"Jiang, Yuanwen","Bao, Zhenan"
7,35165396,"Sensorimotor information processing underlies normal cognitive and behavioral traits and has classically been evaluated through prepulse inhibition (PPI) of a startle reflex. PPI is a behavioral dimension deregulated in several neurological and psychiatric disorders, yet the mechanisms underlying the cross-diagnostic nature of PPI deficits across these conditions remain to be understood. To identify circuitry mechanisms for PPI, we performed circuitry recording over the prefrontal cortex and striatum, two brain regions previously implicated in PPI, using wild-type (WT) mice compared to Disc1-locus-impairment (LI) mice, a model representing neuropsychiatric conditions. We demonstrated that the corticostriatal projection regulates neurophysiological responses during the PPI testing in WT, whereas these circuitry responses were disrupted in Disc1-LI mice. Because our biochemical analyses revealed attenuated brain-derived neurotrophic factor (Bdnf) transport along the corticostriatal circuit in Disc1-LI mice, we investigated the potential role of Bdnf in this circuitry for regulation of PPI. Virus-mediated delivery of Bdnf into the striatum rescued PPI deficits in Disc1-LI mice. Pharmacologically augmenting Bdnf transport by chronic lithium administration, partly via phosphorylation of Huntingtin (Htt) serine-421 and its integration into the motor machinery, restored striatal Bdnf levels and rescued PPI deficits in Disc1-LI mice. Furthermore, reducing the cortical Bdnf expression negated this rescuing effect of lithium, confirming the key role of Bdnf in lithium-mediated PPI rescuing. Collectively, the data suggest that striatal Bdnf supply, collaboratively regulated by Htt and Disc1 along the corticostriatal circuit, is involved in sensorimotor gating, highlighting the utility of dimensional approach in investigating pathophysiological mechanisms across neuropsychiatric disorders.",Regulation of sensorimotor gating via Disc1/Huntingtin-mediated Bdnf transport in the cortico-striatal circuit.,Molecular psychiatry,2022 Mar,"Jaaro-Peled, Hanna","Tomoda, Toshifumi"
8,35114111,"ChRmine, a recently discovered pump-like cation-conducting channelrhodopsin, exhibits puzzling properties (large photocurrents, red-shifted spectrum, and extreme light sensitivity) that have created new opportunities in optogenetics. ChRmine and its homologs function as ion channels but, by primary sequence, more closely resemble ion pump rhodopsins; mechanisms for passive channel conduction in this family have remained mysterious. Here, we present the 2.0 A resolution cryo-EM structure of ChRmine, revealing architectural features atypical for channelrhodopsins: trimeric assembly, a short transmembrane-helix 3, a twisting extracellular-loop 1, large vestibules within the monomer, and an opening at the trimer interface. We applied this structure to design three proteins (rsChRmine and hsChRmine, conferring further red-shifted and high-speed properties, respectively, and frChRmine, combining faster and more red-shifted performance) suitable for fundamental neuroscience opportunities. These results illuminate the conduction and gating of pump-like channelrhodopsins and point the way toward further structure-guided creation of channelrhodopsins for applications across biology.",Structural basis for channel conduction in the pump-like channelrhodopsin ChRmine.,Cell,2022 Feb 17,"Kishi, Koichiro E","Kato, Hideaki E"
9,35065713,"Sex hormones exert a profound influence on gendered behaviors. How individual sex hormone-responsive neuronal populations regulate diverse sex-typical behaviors is unclear. We performed orthogonal, genetically targeted sequencing of four estrogen receptor 1-expressing (Esr1(+)) populations and identified 1,415 genes expressed differentially between sexes or estrous states. Unique subsets of these genes were distributed across all 137 transcriptomically defined Esr1(+) cell types, including estrous stage-specific ones, that comprise the four populations. We used differentially expressed genes labeling single Esr1(+) cell types as entry points to functionally characterize two such cell types, BNSTpr(Tac1/Esr1) and VMHvl(Cckar/Esr1). We observed that these two cell types, but not the other Esr1(+) cell types in these populations, are essential for sex recognition in males and mating in females, respectively. Furthermore, VMHvl(Cckar/Esr1) cell type projections are distinct from those of other VMHvl(Esr1) cell types. Together, projection and functional specialization of dimorphic cell types enables sex hormone-responsive populations to regulate diverse social behaviors.",A functional cellular framework for sex and estrous cycle-dependent gene expression and behavior.,Cell,2022 Feb 17,"Knoedler, Joseph R","Shah, Nirao M"
